app,date,all_ver_rate,ver_1,ver_1_rate,ver_2,ver_2_rate,ver_3,ver_3_rate
一起学网校Android,2019-04-01,0.02,1.6.1.10009,0.03,1.5.0.10013,0.0,1.3.0.10017,0.0
一起学网校Android,2019-04-02,0.1,1.6.1.10009,0.02,1.5.0.10013,1.11,1.3.0.10017,0.0
一起学网校Android,2019-04-03,0.14,1.6.1.10009,0.09,1.5.0.10013,0.53,1.3.0.10017,0.0
一起学网校Android,2019-04-04,0.27,1.6.1.10009,0.24,1.5.0.10013,0.43,1.3.0.10017,0.0
一起学网校Android,2019-04-05,0.07,1.6.1.10009,0.05,1.5.0.10013,0.1,1.3.0.10017,0.0
一起学网校Android,2019-04-06,0.43,1.6.1.10009,0.39,1.5.0.10013,0.54,1.3.0.10017,0.0
一起学网校Android,2019-04-07,0.13,1.6.1.10009,0.09,1.5.0.10013,0.47,1.3.0.10017,0.0
一起学网校Android,2019-04-08,0.07,1.6.1.10009,0.02,1.5.0.10013,0.13,1.3.0.10017,0.0
一起学网校Android,2019-04-09,0.06,1.6.1.10009,0.03,1.5.0.10013,0.41,1.3.0.10017,0.0
一起学网校Android,2019-04-10,0.08,1.6.1.10009,0.07,1.5.0.10013,0.0,1.3.0.10017,0.0
一起学网校Android,2019-04-11,0.11,1.6.1.10009,0.1,1.5.0.10013,0.31,1.3.0.10017,0.0
一起学网校Android,2019-04-12,0.27,1.6.1.10009,0.26,1.5.0.10013,0.31,1.3.0.10017,0.0
一起学网校Android,2019-04-13,0.46,1.6.1.10009,0.45,1.5.0.10013,0.53,1.3.0.10017,0.0
一起学网校Android,2019-04-14,0.31,1.6.1.10009,0.3,1.5.0.10013,0.2,1.3.0.10017,0.0
一起学网校Android,2019-04-15,0.1,1.6.1.10009,0.07,1.5.0.10013,0.0,1.3.0.10017,0.0
一起学网校Android,2019-04-15,0.1,1.5.0.10013,0.0,1.6.1.10009,0.07,1.3.0.10017,0.0
一起学网校Android,2019-04-16,0.1,1.5.0.10013,0.28,1.6.1.10009,0.06,1.3.0.10017,0.0
一起学网校Android,2019-04-16,0.1,1.5.0.10013,0.28,1.6.1.10009,0.06,1.3.0.10017,0.0
一起学网校Android,2019-04-17,0.17,1.5.0.10013,0.33,1.6.1.10009,0.12,1.3.0.10017,0.0
一起学网校Android,2019-04-17,0.17,1.5.0.10013,0.33,1.6.1.10009,0.12,1.3.0.10017,0.0
一起学网校Android,2019-04-18,0.24,1.5.0.10013,0.35,1.6.1.10009,0.3,1.3.0.10017,0.0
一起学网校Android,2019-04-18,0.24,1.5.0.10013,0.35,1.6.1.10009,0.3,1.7.0.10029,0.23
一起学网校Android,2019-04-19,0.54,1.5.0.10013,0.4,1.6.1.10009,0.57,1.7.0.10029,0.51
一起学网校Android,2019-04-19,0.54,1.5.0.10013,0.4,1.6.1.10009,0.57,1.7.0.10029,0.51
一起学网校Android,2019-04-20,0.56,1.5.0.10013,0.51,1.6.1.10009,0.63,1.7.0.10029,0.55
